ra,ano_referencia,fase,genero,inde_ano,prob_risco,nivel_risco
RA-192,2022,3,Masculino,4.932,0.9906154721390336,Alto Risco
RA-193,2022,3,Masculino,8.155,0.009705968915649501,Baixo Risco
RA-194,2022,3,Feminino,4.265,0.9802527968978819,Alto Risco
RA-195,2022,3,Feminino,8.017,0.3557153329062161,Risco Moderado
RA-196,2022,3,Masculino,8.124,0.012324735751766392,Baixo Risco
RA-197,2022,3,Feminino,8.218,0.009237975184682423,Baixo Risco
RA-198,2022,3,Masculino,5.554,0.9824765021396719,Alto Risco
RA-199,2022,3,Masculino,7.564,0.45255386156820543,Risco Moderado
RA-200,2022,3,Masculino,5.705,0.9813333239883679,Alto Risco
RA-201,2022,3,Feminino,7.078,0.46360198331601143,Risco Moderado
RA-202,2022,3,Feminino,5.201,0.9740725966139991,Alto Risco
RA-203,2022,3,Feminino,5.669,0.9833569143500112,Alto Risco
RA-204,2022,3,Feminino,6.943,0.2870529636945061,Baixo Risco
RA-205,2022,3,Masculino,5.372,0.9822051455917683,Alto Risco
RA-206,2022,3,Feminino,7.101,0.3858444637765134,Risco Moderado
RA-207,2022,3,Masculino,4.936,0.9613287453037543,Alto Risco
RA-208,2022,3,Masculino,6.667,0.9100268706448095,Alto Risco
RA-209,2022,3,Masculino,4.499,0.9865816380169169,Alto Risco
RA-210,2022,3,Masculino,4.44,0.9860915977345553,Alto Risco
RA-211,2022,3,Masculino,8.465,0.014867442362497546,Baixo Risco
RA-212,2022,3,Masculino,7.268,0.49281275384450834,Risco Moderado
RA-213,2022,3,Masculino,7.209,0.5555491603499397,Risco Moderado
RA-214,2022,3,Masculino,4.87,0.9809164992919502,Alto Risco
RA-215,2022,3,Feminino,7.172,0.27863947687799284,Baixo Risco
RA-216,2022,3,Feminino,7.502,0.3368256924898321,Risco Moderado
RA-217,2022,3,Feminino,7.397,0.5208216988567771,Risco Moderado
RA-218,2022,3,Feminino,6.1,0.911992226152823,Alto Risco
RA-219,2022,3,Masculino,5.942,0.9795743023221464,Alto Risco
RA-220,2022,3,Feminino,7.028,0.7856331891974081,Alto Risco
RA-221,2022,3,Masculino,6.892,0.7191990604586572,Alto Risco
RA-222,2022,3,Feminino,5.604,0.9736157305399135,Alto Risco
RA-223,2022,3,Feminino,4.966,0.9835157363948934,Alto Risco
RA-224,2022,3,Masculino,5.671,0.9900145829416731,Alto Risco
RA-225,2022,3,Masculino,5.918,0.9605250181492262,Alto Risco
RA-226,2022,3,Feminino,6.549,0.8905955289426549,Alto Risco
RA-227,2022,3,Masculino,6.471,0.7681988582343189,Alto Risco
RA-228,2022,3,Feminino,6.196,0.8684509998193042,Alto Risco
RA-229,2022,3,Masculino,8.62,0.06464411014589203,Baixo Risco
RA-230,2022,3,Masculino,6.328,0.914670005391391,Alto Risco
RA-231,2022,3,Masculino,6.116,0.9327251341887884,Alto Risco
RA-232,2022,3,Masculino,4.245,0.9875870014410915,Alto Risco
RA-233,2022,3,Masculino,6.051,0.9388193180098454,Alto Risco
RA-234,2022,3,Masculino,6.719,0.5600897216214304,Risco Moderado
RA-235,2022,3,Feminino,6.79,0.9086483081670393,Alto Risco
RA-236,2022,3,Feminino,7.11,0.32559644741104143,Risco Moderado
RA-237,2022,3,Feminino,8.084,0.3979342631328821,Risco Moderado
RA-238,2022,3,Feminino,6.331,0.9027449673115491,Alto Risco
RA-239,2022,3,Feminino,4.572,0.9843601120389496,Alto Risco
RA-240,2022,3,Feminino,6.943,0.7874805736305996,Alto Risco
RA-241,2022,3,Masculino,8.468,0.07942885174115523,Baixo Risco
RA-242,2022,3,Masculino,8.673,0.4235098890770406,Risco Moderado
RA-243,2022,3,Feminino,6.982,0.8326539133076326,Alto Risco
RA-244,2022,3,Feminino,8.51,0.01714589955511209,Baixo Risco
RA-245,2022,3,Masculino,8.656,0.19955272726693227,Baixo Risco
RA-246,2022,3,Masculino,8.639,0.03700584421362444,Baixo Risco
RA-247,2022,3,Feminino,7.72,0.3928789303562988,Risco Moderado
RA-248,2022,3,Masculino,7.429,0.3578975807510061,Risco Moderado
RA-249,2022,3,Masculino,5.097,0.9884070733845279,Alto Risco
RA-250,2022,3,Feminino,7.958,0.44541542267237855,Risco Moderado
RA-251,2022,3,Masculino,7.022,0.9101593300194136,Alto Risco
RA-252,2022,3,Masculino,4.277,0.9933162726495841,Alto Risco
RA-253,2022,3,Masculino,4.312,0.9919857073567735,Alto Risco
RA-254,2022,3,Masculino,6.715,0.9327135725528387,Alto Risco
RA-255,2022,3,Masculino,4.563,0.9944411947369218,Alto Risco
RA-256,2022,3,Feminino,7.192,0.48897389266977553,Risco Moderado
RA-257,2022,3,Feminino,5.149,0.9799790618936551,Alto Risco
RA-258,2022,3,Feminino,6.926,0.28047494202723666,Baixo Risco
RA-259,2022,3,Masculino,4.182,0.9933162726495841,Alto Risco
RA-260,2022,3,Feminino,7.44,0.21873858206890248,Baixo Risco
RA-261,2022,3,Feminino,6.763,0.883825222653987,Alto Risco
RA-262,2022,3,Masculino,4.786,0.9815163110156604,Alto Risco
RA-263,2022,3,Feminino,5.319,0.9849981109938821,Alto Risco
RA-264,2022,3,Feminino,7.087,0.5741603633768808,Risco Moderado
RA-265,2022,3,Masculino,7.926,0.3974305602398654,Risco Moderado
RA-266,2022,3,Feminino,5.987,0.9653594738636565,Alto Risco
RA-267,2022,3,Feminino,6.012,0.9491155632739124,Alto Risco
RA-268,2022,3,Feminino,6.695,0.8794722187895252,Alto Risco
RA-269,2022,3,Masculino,8.231,0.05409796669079127,Baixo Risco
RA-270,2022,3,Feminino,8.226,0.020963715702032884,Baixo Risco
RA-271,2022,3,Feminino,7.255,0.4231767842285345,Risco Moderado
RA-272,2022,3,Masculino,6.361,0.9107834302778065,Alto Risco
RA-273,2022,3,Feminino,5.679,0.9813438386183969,Alto Risco
RA-274,2022,3,Feminino,7.946,0.19291576588372528,Baixo Risco
RA-275,2022,3,Masculino,6.665,0.9374470898778289,Alto Risco
RA-276,2022,3,Feminino,5.527,0.9818896836788136,Alto Risco
RA-277,2022,3,Masculino,7.411,0.4726118275605939,Risco Moderado
RA-278,2022,3,Masculino,7.741,0.10127369201586829,Baixo Risco
RA-279,2022,3,Masculino,8.815,0.06668400745777474,Baixo Risco
RA-280,2022,3,Feminino,8.046,0.10492395210126233,Baixo Risco
RA-281,2022,3,Feminino,6.806,0.6606667309349714,Alto Risco
RA-282,2022,3,Feminino,6.618,0.6138534448602505,Alto Risco
RA-283,2022,3,Masculino,7.131,0.6676306043882307,Alto Risco
RA-284,2022,3,Masculino,5.939,0.9739673856667865,Alto Risco
RA-285,2022,3,Feminino,5.063,0.9883910115465062,Alto Risco
RA-286,2022,3,Feminino,5.424,0.977266707849087,Alto Risco
RA-287,2022,3,Feminino,3.7,0.9912279416912729,Alto Risco
RA-288,2022,3,Feminino,4.097,0.9750375520641088,Alto Risco
RA-289,2022,3,Feminino,6.236,0.9307957224376094,Alto Risco
RA-290,2022,3,Feminino,4.929,0.9829262624635066,Alto Risco
RA-291,2022,3,Masculino,8.122,0.030638245622752792,Baixo Risco
RA-292,2022,3,Masculino,4.837,0.9802760970876826,Alto Risco
RA-293,2022,3,Masculino,4.875,0.9890517741288065,Alto Risco
RA-294,2022,3,Feminino,5.031,0.9635327651409286,Alto Risco
RA-295,2022,3,Feminino,7.305,0.5331895776739475,Risco Moderado
RA-296,2022,3,Feminino,4.665,0.9877455504810702,Alto Risco
RA-297,2022,3,Feminino,7.478,0.35852684602697155,Risco Moderado
RA-298,2022,3,Masculino,6.409,0.9466401776388645,Alto Risco
RA-299,2022,3,Feminino,7.278,0.4817259267100846,Risco Moderado
RA-300,2022,3,Masculino,5.557,0.9735297443366728,Alto Risco
RA-301,2022,3,Feminino,6.802,0.5742887390981402,Risco Moderado
RA-302,2022,3,Masculino,6.334,0.8871137782092693,Alto Risco
RA-303,2022,3,Masculino,6.03,0.9598895180476925,Alto Risco
RA-304,2022,3,Masculino,6.355,0.9505624023133024,Alto Risco
RA-305,2022,3,Masculino,6.058,0.9468924494544321,Alto Risco
RA-306,2022,3,Feminino,6.427,0.7740792637838746,Alto Risco
RA-307,2022,3,Masculino,4.733,0.9854731097130787,Alto Risco
RA-308,2022,3,Masculino,6.93,0.6751267165955107,Alto Risco
RA-309,2022,3,Feminino,6.151,0.9421848270146097,Alto Risco
RA-310,2022,3,Feminino,6.4,0.7307240215097741,Alto Risco
RA-311,2022,3,Feminino,5.652,0.9643691320399168,Alto Risco
RA-312,2022,3,Feminino,7.339,0.46924013272977483,Risco Moderado
RA-313,2022,3,Feminino,5.8,0.9669777173317468,Alto Risco
RA-314,2022,3,Feminino,6.1,0.7899057629639694,Alto Risco
RA-315,2022,3,Feminino,5.672,0.984744875868097,Alto Risco
RA-316,2022,3,Feminino,7.889,0.7460413043308532,Alto Risco
RA-317,2022,3,Masculino,7.04,0.484915820529234,Risco Moderado
RA-318,2022,3,Feminino,6.527,0.7665592644665657,Alto Risco
RA-319,2022,3,Masculino,7.448,0.42874612930645173,Risco Moderado
RA-320,2022,3,Feminino,7.897,0.8264720973804259,Alto Risco
RA-321,2022,3,Feminino,7.792,0.44478389186480993,Risco Moderado
RA-322,2022,3,Feminino,6.859,0.8694376621563874,Alto Risco
RA-323,2022,3,Masculino,6.86,0.4852686820501218,Risco Moderado
RA-324,2022,2,Feminino,8.27,0.046698694266832735,Baixo Risco
RA-325,2022,2,Masculino,7.619,0.4452170358376092,Risco Moderado
RA-326,2022,2,Feminino,8.22,0.5127723052984541,Risco Moderado
RA-327,2022,2,Masculino,6.986,0.711636186564329,Alto Risco
RA-328,2022,2,Masculino,6.823,0.9523021949242354,Alto Risco
RA-329,2022,2,Masculino,6.313,0.9454023017397916,Alto Risco
RA-330,2022,2,Feminino,6.446,0.891376150374871,Alto Risco
RA-331,2022,2,Feminino,6.636,0.9507307587004125,Alto Risco
RA-332,2022,2,Masculino,7.883,0.9358481413132619,Alto Risco
RA-333,2022,2,Masculino,5.249,0.9835143090072795,Alto Risco
RA-334,2022,2,Feminino,7.961,0.6598723272374434,Alto Risco
RA-335,2022,2,Masculino,7.902,0.6428147207093806,Alto Risco
RA-336,2022,2,Masculino,6.787,0.9483651842819091,Alto Risco
RA-337,2022,2,Masculino,7.914,0.585594615463927,Risco Moderado
RA-338,2022,2,Masculino,6.837,0.9367125650158197,Alto Risco
RA-339,2022,2,Feminino,8.488,0.04963040874799242,Baixo Risco
RA-340,2022,2,Masculino,7.721,0.6744588477117788,Alto Risco
RA-341,2022,2,Masculino,6.854,0.9157165545200734,Alto Risco
RA-342,2022,2,Feminino,6.941,0.943062736135728,Alto Risco
RA-343,2022,2,Masculino,6.9,0.9630306347226155,Alto Risco
RA-344,2022,2,Masculino,7.263,0.16549638434847766,Baixo Risco
RA-345,2022,2,Masculino,5.75,0.972459420655041,Alto Risco
RA-346,2022,2,Masculino,8.143,0.03794656346827579,Baixo Risco
RA-347,2022,2,Feminino,7.908,0.790749761826,Alto Risco
RA-348,2022,2,Masculino,5.864,0.9502773616151088,Alto Risco
RA-349,2022,2,Masculino,5.658,0.9782517372853269,Alto Risco
RA-350,2022,2,Feminino,8.206,0.04670938353953978,Baixo Risco
RA-351,2022,2,Masculino,6.622,0.8767690671081572,Alto Risco
RA-352,2022,2,Masculino,7.834,0.6523368452484761,Alto Risco
RA-353,2022,2,Feminino,8.264,0.033622820203301554,Baixo Risco
RA-354,2022,2,Feminino,5.858,0.9826160517092537,Alto Risco
RA-355,2022,2,Feminino,5.379,0.9882221987040699,Alto Risco
RA-356,2022,2,Masculino,6.69,0.8892730114918354,Alto Risco
RA-357,2022,2,Masculino,7.836,0.7936620974811526,Alto Risco
RA-358,2022,2,Masculino,5.412,0.9686855005761968,Alto Risco
RA-359,2022,2,Feminino,6.606,0.9419425027656432,Alto Risco
RA-360,2022,2,Feminino,7.075,0.703991692961556,Alto Risco
RA-361,2022,2,Feminino,6.731,0.9154343063889583,Alto Risco
RA-362,2022,2,Feminino,7.413,0.8130224831236095,Alto Risco
RA-363,2022,2,Masculino,6.644,0.9497877434834172,Alto Risco
RA-364,2022,2,Masculino,8.75,0.2845634409881897,Baixo Risco
RA-365,2022,2,Feminino,8.063,0.08604935755492805,Baixo Risco
RA-366,2022,2,Masculino,7.181,0.515543553393798,Risco Moderado
RA-367,2022,2,Feminino,6.95,0.8968222527043238,Alto Risco
RA-368,2022,2,Masculino,6.969,0.9510233062955571,Alto Risco
RA-369,2022,2,Masculino,6.973,0.8927277670244173,Alto Risco
RA-370,2022,2,Feminino,7.066,0.8089672697576675,Alto Risco
RA-371,2022,2,Feminino,8.112,0.10024686408009544,Baixo Risco
RA-372,2022,2,Masculino,7.304,0.14614855968052504,Baixo Risco
RA-373,2022,2,Masculino,7.503,0.5882827104270418,Risco Moderado
RA-374,2022,2,Feminino,7.747,0.8735702162463223,Alto Risco
RA-375,2022,2,Masculino,7.831,0.09881902942517362,Baixo Risco
RA-376,2022,2,Feminino,6.957,0.9407681522510877,Alto Risco
RA-377,2022,2,Feminino,6.743,0.9504091482735062,Alto Risco
RA-378,2022,2,Masculino,7.203,0.714007866993784,Alto Risco
RA-379,2022,2,Feminino,6.722,0.9093915264746443,Alto Risco
RA-380,2022,2,Masculino,4.556,0.9945097978759748,Alto Risco
RA-381,2022,2,Masculino,6.454,0.942473282421813,Alto Risco
RA-382,2022,2,Masculino,6.777,0.9581799834300424,Alto Risco
RA-383,2022,2,Masculino,8.4,0.18449865273462357,Baixo Risco
RA-384,2022,2,Feminino,7.558,0.8627930566015121,Alto Risco
RA-385,2022,2,Feminino,6.083,0.9112749765760308,Alto Risco
RA-386,2022,2,Masculino,6.104,0.9310326303647304,Alto Risco
RA-387,2022,2,Masculino,6.323,0.9394918757735896,Alto Risco
RA-388,2022,2,Feminino,6.654,0.9330068853501501,Alto Risco
RA-389,2022,2,Masculino,7.184,0.48945025911282536,Risco Moderado
RA-390,2022,2,Feminino,6.776,0.9064953368050129,Alto Risco
RA-391,2022,2,Feminino,7.117,0.5429961534407797,Risco Moderado
RA-392,2022,2,Masculino,6.418,0.910205466615048,Alto Risco
RA-393,2022,2,Feminino,5.518,0.9832481524252438,Alto Risco
RA-394,2022,2,Feminino,7.897,0.6316680077619259,Alto Risco
RA-395,2022,2,Feminino,7.683,0.16150613451983659,Baixo Risco
